QKEY,INTERVIEW_START_W116,INTERVIEW_END_W116,DEVICE_TYPE_W116,LANG_W116,FORM_W116,XCITIZEN_W116,XW78NONRESP_W116,XW91NONRESP_W116,SATIS_W116,POL1JB_W116,POL1JBSTR_W116,INSTN_CHR_W116,INSTN_CLGS_W116,INSTN_K12_W116,INSTN_LBRUN_W116,INSTN_TECHCMP_W116,INSTN_SMBUS_W116,INSTN_BNKS_W116,INSTN_MIL_W116,INSTN_LGECRP_W116,MIDCMPGN_W116,MATTERSCONG_W116,CONG_W116,CONGA_W116,PLAN1_W116,HOWPLANVOTE_W116,HOWVOTED_W116,PLANABSENT_W116,FIRSTVOTE22_W116,POL10_W116,REPCONGEX_W116,DEMCONGEX_W116,ISSUECONG_ABTN_W116,ISSUECONG_ECON_W116,ISSUECONG_IMM_W116,ISSUECONG_HEALTH_W116,ISSUECONG_RCE_W116,ISSUECONG_TINVEST2_W116,ISSUECONG_EDUC_W116,ISSUECONG_ENG_W116,ISSUECONG_BINVEST1_W116,ISSUECONG_GUN_W116,ISSUECONG_SCOTUS_W116,ISSUECONG_GOV_W116,ISSUECONG_DEMO_W116,ISSUECONG_CLIM_W116,ISSUECONG_BINVEST2_W116,ISSUECONG_FP_W116,ISSUECONG_COV_W116,ISSUECONG_CRIM_W116,ISSUECONG_VTPOL_W116,ISSUECONG_TINVEST1_W116,DRLEAD_W116,WOMENOBS_W116,OPENIDEN_W116,GOODEVIL_W116,POORASSIST_W116,SUPERPWR_W116,WHADVANT_W116,THERMTRUMP_W116,THERMTRUMP_REFUSED_W116,THERMBIDEN_W116,THERMBIDEN_REFUSED_W116,VTADMIN_COM_W116,VTADMIN_US_W116,VOTETRAITS_a_W116,VOTETRAITS_b_W116,VOTETRAITS_c_W116,VOTETRAITS_d_W116,VTCOUNT_INP_W116,VTCOUNT_ABS_W116,VTEASY_W116,CONCEDECONG_W116,ECON1_W116,ECON1B_W116,PERSFNC_W116,PERSFNCB_W116,ECONCONC_PRICE_W116,ECONCONC_UNEM_W116,ECONCONC_LAB_W116,ECONCONC_ENG2_W116,ECONCONC_SHTG_W116,ECONCONC_REAL_W116,ECONCONC_STCK_W116,ALLIES_W116,ISLMVIOL_W116,REGULATE_W116,WAGEGAP_a_W116,WAGEGAP_b_W116,WAGEGAP_c_W116,VTPPL1_W116,VTPPL2_SUM_W116,ELRULE_FAIR_W116,ELRULE_EASE_W116,ELRULE_PTY_W116,CANDHOUKN_W116,CANDHOUSAT_W116,PREDELEC_a_W116,PREDELEC_b_W116,GAYMARR2_W116,MARIJUANA3_W116,EMPLSIT_W116,BOSS_W116,PRESSURESELF_a_W116,PRESSURESELF_b_W116,PRESSURESELF_c_W116,JAN6ATTN_W116,JAN6CMTHEAR_W116,JAN6CONFCM_W116,JAN6_DTRESP_W116,CHINA_RIGHTS_W116,CHINA_ECONCOMP_W116,CHINA_MILPOWER_W116,CHINA_TAIWAN_W116,CHINA_RUSSIA_W116,CHINA_XI_W116,VISITS2_W116,REG_W116,PLANREG_W116,VOTE_MOTIV_W116,HORSE_W116,ERNLAB_CPS_W112,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_VOTED2020,F_VOTEGEN2020,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W116
106885,10/11/2022 19:07:44,10/11/2022 21:03:53,2,1,1,1,2,2,2,2,1,1,2,2,1,2,1,2, , ,1,1,1, ,1,3, ,4,2,2,2,3,1,1,1, , , ,1,2,1, , , , , , ,1,4,1,1,4,1,1,2,1,1,1,2,75, ,1, ,2,3,1,1,1,2,2,4, ,1,3,1,2,1,1,2,1,1,2,1,1,2,1,2,3,1,3,3, , ,1,1,2,2,1,1,4,2,2,3,2,1,1,1,2,4,2,1,1,1,1,1,1,2,1, ,1,1,1,1,4,9,2,4,2,1,5,1,1,1,4,3,1,1,1,2,2,2,1,1, ,1,1,1,1,9,2,1,1,3,1.3311451935446719
108035,10/11/2022 21:56:08,10/11/2022 22:16:46,2,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2, , ,2,1,1, ,1,2, , ,2,2,1,1,1,1,1, , , ,1,1,1, , , , , , ,2,4,1,1,3,1,1,2,1,2,1,4,90, ,0, ,2,4,1,1,1,2,1,4, ,4,4,2,2,2,1,4,1,1,1,1,1,2,1,2,99,99,99,1, , ,3,3,2,1,1,1,4,2,1,2,2,1,1,1,1,4,3,3,1,2,1,2,3,2,1, ,1,1,2,1,4,8,3,3,1,3,1,2, ,1,1,1,1,1,1,1,2,1,3,4,1,1,1,1,1,9,1,2,1,3,1.0712507497797064
108909,10/11/2022 16:40:15,10/11/2022 17:01:25,2,1,2,1,2,2,2,2,2,2,2,2,2, , , ,2,1,3,2,4,4,3, , , , ,3,4,4,1,1,3,1,1,3, , , ,1,1,2,1,2,2, , , , , ,3,2,2,2,1,1,2,20, ,40, ,2,3, , , , , , ,2,2,3,3,4,2,1,3,1,1,3,1,2,2,2,1,1,1,1, ,2,1, , ,3,3,2,1,3,1,4, , , , ,2,2,2,2,2,1,1,2,2,2,2,3,2, , ,2,1,2,3,3,4,2,3,1,2, ,1,1,1,1,1,5,2,2,2,5,2, ,2,3,2, ,1,3, ,2,1,1.7422797173767839
110041,10/12/2022 18:47:54,10/13/2022 00:51:02,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2, , ,1,1,1, ,2, ,2, ,2,2,4,5,2,1,1, , , ,1,1,2, , , , , , ,2,4,1,4,4,1,1,2,1,2,1,4,80, ,0, ,1,3,1,1,1,1,2,3, ,1,4,2,2,3,1,1,1,1,1,1,1,2,1,2,3,1,3,1, , ,3,3,1,1,1,1,3,1,5, , , , ,1,1,4,3,1,1,1,2,2,1,1,1, ,1,1,2,1,3,5,3,4,1,1,6,2, ,1,1,1,1,1,1,2,2,2,5,1, ,1,1,1,1,9,2,2,1,3,0.75435603941475
111665,10/11/2022 18:37:16,10/11/2022 18:50:01,1,1,2,1,2,2,2,1,1,2,1,1,1, , , ,1,2,1,1,2, ,1,3, ,2,2,1,5,3,1,2,2,1,2,1, , , ,1,1,2,1,1,4, , , , , ,2,2,1,1,3,2,2,0, ,95, ,2,2, , , , , , ,3,2,2,1,2,1,1,3,2,1,2,1,2,1,1,1,2,2,1, ,1,1, , ,2,2,2,2,2,1,4, , , , ,2,1,1,1,1,2,2,1,1,2,1,1, ,1,2,2,1,4,9,2,4,2,2,3,1,1,1,1,3,1,1,1,2,1,2,4,2, ,2,3,1,2,6,3, ,2,2,1.2121271742282573
111927,10/11/2022 16:23:03,10/11/2022 16:41:02,2,1,2,1,1,2,2,2,1,2,2,2,1, , , ,1,2,2,3,3, ,1,2, , ,2,3,5,5,2,1,1,1,2,4, , , ,1,1,2,1,2,1, , , , , ,3,2,2,1,2,1,3,50, ,5, ,4,4, , , , , , ,3,4,4,2,3,2,2,2,3,2,3,2,3,1,2,2,1,1,1, ,4,2, , ,3,2,99,99,2,1,2,3,1,4,3,1,3,4,3,1,1,1,1,1,1,2,1, ,99,3,2,1,2,3,3,4,2,3,2,2, ,1,1,1,1,1,2,12, ,3,5,4,1,1,2,1,3,1,3,4,99,1,0.41996440168394417
112238,10/11/2022 22:27:34,10/11/2022 22:40:37,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2, , ,2,1,1, ,1,3, ,3,2,2,2,4,1,1,1, , , ,1,1,1, , , , , , ,1,2,1,1,3,1,2,2,1,2,1,4,90, ,25, ,2,2,1,1,1,1,2,3, ,1,4,3,2,2,1,3,1,1,2,1,1,2,1,2,2,2,2,2, , ,3,3,2,2,1,1,3,2,2,3,2,2,2,1,1,3,3,2,2,2,2,2,2,1,1, ,2,1,1,1,4,8,3,4,2,3,2,2, ,1,1,1,1,1,2,12, ,3,5,1, ,1,2,1,1,6,3,2,2,2,0.9963992585145288
112371,10/12/2022 12:06:04,10/12/2022 12:31:00,2,1,2,1,2,2,2,2,1,99,2,2,2, , , ,2,2,2,1,4,1,1,2, , ,2,2,3,3,4,1,1,4,4,4, , , ,4,3,1,2,4,1, , , , , ,1,1,2,2,2,1,4,25, ,100, ,3,3, , , , , , ,3,2,4,2,3,2,1,1,3,1,1,1,2,2,1,2,3,3,3, ,4,99, , ,2,2,1,1,99,2,1,3,3,4,2,3,2,4,3,1,1,1,1,1,1,1,1, ,1,1,2,1,1,2,2,3,2,1,5,1,2,1,4,3,1,1,1,2,2,2,4,3,1,1,1,1,1,6,2,2,2,2,0.923705984657099
112517,10/11/2022 23:10:17,10/15/2022 18:03:40,2,1,2,1,2,2,1,2,1,1,2,1,1, , , ,1,99,2,4,1, ,1,2, , ,2,3,4,4,1,99,1,2,1,1, , , ,1,2,1,1,2,2, , , , , ,3,2,1,1,3,1,2,10, ,50, ,1,1, , , , , , ,2,1,3,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1, ,1,1, , ,99,2,2,2,3,1,1,3,3,2,3,3,2,2,1,1,2,1,2,1,1,1,1, ,2,1,1,1,2,3,2,3,2,1,6,2, ,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,9,3,2,1,2,0.9107690161574155
112613,10/16/2022 15:36:41,10/16/2022 15:49:37,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1, , ,1,1,1, ,2, ,4, ,2,2,2,5,3,1,1, , , ,1,2,1, , , , , , ,2,4,1,2,4,1,1,1,2,3,1,3,75, ,15, ,1,1,1,1,1,1,1,1, ,1,3,2,2,3,1,2,1,1,1,1,1,2,99,1,3,3,1,1, , ,3,3,1,1,1,1,2,2,5, , , , ,1,2,3,2,1,1,1,2,1,1,1,1, ,1,1,2,1,3,5,2,4,2,1,6,2, ,1,1,1,1,1,6,1,2,1,4,1, ,1,2,1,1,9,3,3,2,3,1.0288491461897293
113274,10/11/2022 22:37:24,10/11/2022 22:45:24,2,1,2,1,2,2,2,2,2,1,1,1,2, , , ,1,2,2,3,2, ,1,2, , ,2,3,99,3,2,1,2,2,2,2, , , ,2,2,2,2,2,2, , , , , ,2,1,2,2,1,2,1,40, ,60, ,1,2, , , , , , ,3,2,2,3,2,3,2,2,2,2,2,2,2,1,2,1,1,1,1, ,1,1, , ,3,2,2,2,2,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1, ,2,2,2,1,1,1,1,3,1,1,5,2, ,1,3,5,1,1,6,1,2,1,4,2, ,2,3,1,2,2,2,1,2,1,0.22214260055530427
114197,10/13/2022 15:15:21,10/13/2022 15:30:36,2,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2, , ,2,1,1, ,1,2, , ,2,3,3,3,3,1,1, , , ,4,1,3, , , , , , ,1,4,2,2,3,3,2,2,2,2,99,3,50, ,1, ,2,3,1,1,1,1,2,3, ,1,4,2,3,3,1,1,1,1,1,1,1,2,1,1,2,3,1,1, , ,3,3,3,3,1,1,1,1,1,3,1,1,1,1,2,4,2,2,1,1,1,1,1,1,1, ,1,1,1,1,1,2,2,3,2,1,5,2, ,1,1,1,1,1,5,2,2,2,6,3,1,1,2,1,1,3,3,1,1,2,0.8220392372100108
116151,10/11/2022 16:35:03,10/11/2022 17:11:30,2,1,2,1,2,2,2,2,1,1,2,2,2, , , ,2,2,1,1,1, ,99, , , , ,2,1,5,4,1,1,1,4,4, , , ,1,1,1,2,4,1, , , , , ,1,1,99,1,2,1,4,100, ,0, ,2,1, , , , , , ,1,1,4,1,99,3,1,2,2,1,1,1,1,2,1,2,1,2,3, ,3,1, , ,1,1,1,1,99,2,5, , , , ,1,1,4,3,1,1,1,1,1,2,1,1, ,1,1,2,1,4,8,2,4,2,3,1,2, ,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,5,1,1,0.8957377641083124
116422,10/11/2022 17:12:51,10/11/2022 17:27:53,1,1,1,1,2,2,2,99, ,2,99,1,1,2,1,99, , ,2,1,3, ,1,2, , ,2,3,4,3,3,2,3, , , ,3,2,3, , , , , , ,3,4,2,2,1,3,2,1,2,3,1,2,0, ,30, ,1,2,1,1,2,1,2,2, ,2,3,1,3,1,2,3,3,2,2,3,2,1,2,1,3,2,1,1, , ,3,3,3,3,2,2,2,1,5, , , , ,3,2,2,1,3,3,2,2,2,3,1,1, ,2,3,2,1,2,4,2,4,2,3,2,2, ,1,1,1,1,1,5,12, ,3,4,3,99,9,9,1,2,3,3,2,1,1,1.042075713840347
118060,10/14/2022 07:23:55,10/14/2022 07:55:35,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2, , ,1,1,1, ,1,1, , ,2,2,3,4,2,1,1, , , ,1,1,2, , , , , , ,1,1,1,1,2,1,2,1,2,3,2,2,50, ,0, ,1,2,1,1,1,1,3,3, ,1,4,2,3,2,1,4,1,1,1,1,1,1,2,2,2,2,1,1, , ,1,3,2,1,1,1,1,1,5, , , , ,1,1,3,2,1,1,1,2,1,1,1,1, ,1,1,2,1,3,5,3,3,2,1,5,2, ,1,1,1,1,1,1,2,2,2,5,1, ,1,1,1,1,3,2,2,2,2,0.6866087122949219
118110,10/12/2022 07:20:54,10/12/2022 07:40:58,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2, , ,2,1,4,3,1,2, , ,2,3,3,4,1,1,2, , , ,1,1,2, , , , , , ,1,4,1,1,1,3,2,1,2,1,1,4,20, ,50, ,1,1,1,1,1,1,1,1, ,1,4,2,4,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1, , ,3,3,2,2,1,1,3,2,4, , , , ,3,2,1,1,1,2,1,1,1,1,2,1, ,1,3,2,1,2,3,1,3,2,3,2,2, ,99,1,1,1,99,1,2,2,2,5,2, ,2,9,1,2,5,99,5,2,2,0.8742589336270816
118414,10/10/2022 18:17:24,10/10/2022 18:29:46,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2, , ,1,1,1, ,1,1, , ,2,2,1,2,2,1,1, , , ,1,2,1, , , , , , ,1,1,1,1,4,1,1,2,1,2,1,4,100, ,0, ,3,3,1,1,1,1,3,4, ,3,4,3,2,3,1,3,1,1,1,2,2,2,1,2,2,3,3,2, , ,1,3,2,2,1,1,4,3,5, , , , ,1,3,4,3,1,1,1,2,1,1,1,1, ,1,1,2,2,2,3,3,4,2,3,2,2, ,1,1,1,1,1,1,1,2,1,5,1, ,1,1,1,1,8,1,1,2,3,0.871259647754792
122265,10/12/2022 16:43:49,10/12/2022 17:05:43,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1, , ,1,1,1, ,1,2, , ,2,2,4,4,1,1,1, , , ,1,1,2, , , , , , ,1,3,1,1,2,1,1,2,1,2,2,3,7, ,0, ,1,2,1,1,1,1,1,2, ,1,2,1,2,3,2,1,1,1,3,2,1,1,2,2,1,3,1,1, , ,3,3,2,2,1,1,4,3,5, , , , ,1,2,3,3,1,2,2,2,2,2,1,1, ,2,1,2,2,1,2,3,4,1,1,5,2, ,1,1,1,1,1,5,2,1,2,2,1, ,1,1,1,1,3,2,4,1,1,0.8811328713531222
124281,10/11/2022 15:27:51,10/11/2022 15:40:28,1,1,2,1,2,2,1,1,1,2,1,1,1, , , ,1,2,1,1,2, ,1,3, ,2,2,3,1,3,1,1,1,1,1,1, , , ,1,1,1,1,1,4, , , , , ,2,2,1,2,1,1,1,0, ,100, ,1,2, , , , , , ,1,1,1,1,1,1,2,4,2,2,4,2,2,1,2,1,3,3,1, ,1,1, , ,1,1,2,2,1,1,5, , , , ,2,1,1,1,1,1,1,1,1,1,1,1, ,1,2,2,1,4,9,2,4,1,1,5,2, ,1,1,1,1,1,3,10, ,3,6,3,2,2,4,1,2,9,4,2,2,3,0.8271274567401102
125421,10/11/2022 17:53:53,10/12/2022 08:04:12,2,1,2,1,2,2,2,1,2,2,99,2,1, , , ,1,2,1,1,2, ,1,2, , ,2,1,4,3,2,2,2,2,1,1, , , ,1,1,2,1,1,3, , , , , ,2,2,1,1,2,1,1,0, ,90, ,2,3, , , , , , ,2,2,2,3,2,1,3,1,1,2,2,1,2,1,2,1,1,1,1, ,3,2, , ,2,2,2,1,1,1,5, , , , ,2,1,1,1,1,2,1,1,1,1,1,1, ,1,2,2,2,3,7,3,4,2,2,4,2, ,1,1,1,1,1,1,9, ,3,6,2, ,2,3,1,2,9,3,3,2,3,0.8946427047364018
127160,10/13/2022 13:43:13,10/13/2022 13:56:11,2,1,2,1,1,2,2,2,1,1,2,2,2, , , ,2,1,4,4,4,4,3, , , , ,3,4,5,4,3,4,2,3,3, , , ,3,3,3,3,4,3, , , , , ,3,1,2,1,1,2,1,70, ,0, ,3,3, , , , , , ,2,4,3,2,3,1,1,1,1,2,2,3,2,2,2,1,3,2,2, ,3,2, , ,4,4,1,1,4,2,1,2,4,2,1,2,3,3,3,3,3,3,3,4,3,2,3,2, , ,2,1,3,6,2,2,2,1,6,2, ,1,4,4,1,1,1,12, ,3,2,3,1,1,1,2, ,5,1,2,2,2,0.20363868458206824
